,age,workclass,fnlwgt
2575,19, Private,446219
2576,32, Self-emp-inc,110331
2577,48, Private,207946
2578,67, ?,45537
2579,47, Private,188330
2580,52, Private,147629
2581,40, Private,153799
2582,28, Private,203776
2583,41, Private,168071
2584,57, Private,348430
2585,51, Private,103407
2586,26, ?,152046
2587,36, Private,153205
2588,33, Private,326104
2589,46, Private,238162
2590,50, Private,221336
2591,33, Private,180656
2592,77, Self-emp-not-inc,145329
2593,39, Private,315776
2594,67, ?,150516
2595,35, Private,325802
2596,23, Private,133985
2597,37, Private,269329
2598,41, Private,183203
2599,60, Private,76127
2600,32, Private,195891
2601,56, Federal-gov,162137
2602,45, State-gov,37672
2603,24, Private,161708
2604,18, Private,80616
2605,31, Private,209276
2606,21, ?,34443
2607,45, Private,192835
2608,23, Private,203240
2609,45, State-gov,102308
2610,18, Private,40829
2611,25, Private,60726
2612,31, State-gov,116677
2613,19, Private,57067
2614,41, Private,304906
2615,74, Private,101590
2616,27, Private,258102
2617,23, Private,241185
2618,31, Private,124827
2619,40, Self-emp-inc,76625
2620,41, Federal-gov,263339
2621,25, Private,135645
2622,42, Private,245626
2623,24, Private,210781
2624,42, Private,235786
2625,45, Self-emp-not-inc,160167
2626,52, Federal-gov,30731
2627,34, Private,314375
2628,32, Private,81528
2629,54, Private,182854
2630,42, Federal-gov,296798
2631,32, Private,194426
2632,40, ?,70645
2633,55, Self-emp-inc,141807
2634,66, ?,112871
2635,52, State-gov,71344
2636,21, State-gov,341410
2637,33, Private,118941
2638,52, ?,159755
2639,28, Private,128509
2640,27, Self-emp-not-inc,229125
2641,42, Local-gov,142756
2642,27, Self-emp-inc,243871
2643,47, Private,213140
2644,19, Private,196857
2645,46, Private,138626
2646,55, Self-emp-not-inc,161334
2647,50, Private,273536
2648,32, Private,115631
2649,28, Private,185957
2650,23, Private,334357
2651,43, Private,96102
2652,34, Private,213226
2653,19, Private,115248
2654,37, Private,185061
2655,27, Private,147638
2656,18, Private,280298
2657,31, Private,163516
2658,49, Private,277434
2659,26, Federal-gov,206983
2660,48, Private,108993
2661,39, Private,288551
2662,41, Private,176069
2663,48, State-gov,183486
2664,40, Private,163215
2665,70, Private,94692
2666,20, Private,118462
2667,38, Private,407068
2668,37, Self-emp-not-inc,243587
2669,49, Private,23074
2670,51, Private,237735
2671,43, Private,188291
2672,38, Private,284166
2673,18, ?,423460
2674,23, Private,287681
2675,34, Private,509364
2676,62, ?,139391
2677,33, Private,91964
2678,31, Private,117526
2679,64, Private,91343
2680,26, Local-gov,336969
2681,55, Private,255364
2682,61, Local-gov,167670
2683,37, Private,211494
2684,78, Local-gov,136198
2685,27, Federal-gov,409815
2686,49, Private,188823
2687,55, State-gov,146326
2688,42, Private,154374
2689,22, ?,216563
2690,61, Private,197286
2691,64, Self-emp-not-inc,100722
2692,46, Local-gov,377622
2693,24, Private,145964
2694,27, Private,358636
2695,47, Private,155489
2696,18, Private,57413
2697,48, Private,320421
2698,50, Self-emp-not-inc,174752
2699,40, State-gov,229364
2700,56, Self-emp-not-inc,157486
2701,34, Private,92682
2702,56, Federal-gov,101338
2703,18, Private,132652
2704,21, Private,34616
2705,40, Private,218903
2706,27, Local-gov,204098
2707,52, Self-emp-not-inc,64045
2708,46, Private,189763
2709,23, Private,26248
2710,50, Private,92079
2711,19, Private,280071
2712,20, Private,224059
2713,39, Private,185520
2714,24, Private,265567
2715,72, Private,106890
2716,42, State-gov,39586
2717,42, Private,153132
2718,51, Private,209912
2719,39, Private,144169
2720,40, Local-gov,50442
2721,34, Private,89644
2722,19, Private,275889
2723,26, Private,231638
2724,45, Local-gov,224474
2725,28, Private,355259
2726,30, Federal-gov,68330
2727,32, Private,185410
2728,19, Private,87653
2729,21, Private,286853
2730,54, Private,96710
2731,62, Private,160143
2732,25, Private,186925
2733,49, Self-emp-inc,109705
2734,32, Private,94235
2735,26, Private,225279
2736,37, Local-gov,297449
2737,58, Private,205896
2738,37, Private,93717
2739,41, Private,194710
2740,38, Private,236391
2741,47, State-gov,189123
2742,42, Private,358677
2743,30, State-gov,199539
2744,43, Private,128170
2745,34, Private,231238
2746,57, Private,296152
2747,46, Private,166003
2748,32, Private,281437
2749,20, Private,190231
2750,47, Private,122026
2751,55, ?,205527
2752,53, Self-emp-not-inc,174102
2753,43, Private,125461
2754,80, Self-emp-not-inc,184335
2755,24, Private,211345
2756,43, Local-gov,147328
2757,22, Private,222993
2758,40, Private,225978
2759,48, Private,121124
2760,56, ?,656036
2761,34, ?,346762
2762,51, Private,234057
2763,24, Federal-gov,306515
2764,19, Private,116562
2765,34, Private,171159
2766,24, Private,199011
2767,41, Private,443508
2768,24, Private,29810
2769,22, Local-gov,238831
2770,32, Federal-gov,566117
2771,41, Private,255044
2772,20, Private,436253
2773,31, Private,300687
2774,55, Private,144071
2775,49, State-gov,133917
2776,26, Private,188767
2777,27, Self-emp-not-inc,300777
2778,35, Private,26987
2779,40, Private,174395
2780,59, Private,90290
2781,61, Private,183735
2782,31, Private,123273
2783,43, Federal-gov,186916
2784,61, Private,43554
2785,54, Private,178251
2786,30, Private,255885
2787,20, Private,64292
2788,27, State-gov,194773
2789,44, Self-emp-inc,133060
2790,64, Private,258006
2791,55, Private,92215
2792,34, Private,33945
2793,61, Private,153048
2794,28, Private,192200
2795,34, Private,355571
2796,47, Self-emp-inc,139268
2797,26, Private,34402
2798,35, Private,25955
2799,36, Private,209609
2800,47, Private,168283
2801,17, Private,295488
2802,35, Private,190895
2803,33, Private,164190
2804,25, Private,216010
2805,18, Private,387568
2806,47, State-gov,188386
2807,44, Private,174491
2808,41, Private,31221
2809,30, Private,272451
2810,53, Self-emp-not-inc,152652
2811,53, Private,104413
2812,40, Private,105936
2813,24, Private,379066
2814,27, Private,214858
2815,50, Private,237735
2816,36, Private,158592
2817,41, Private,237321
2818,41, Private,23646
2819,31, Private,169240
2820,32, Federal-gov,454508
2821,22, Private,130356
2822,22, Private,427686
2823,18, Local-gov,36411
2824,39, Private,548510
2825,38, Private,187264
2826,35, State-gov,140752
2827,23, Private,325596
2828,54, Self-emp-not-inc,175804
2829,36, Private,107302
2830,63, Local-gov,41161
2831,39, Private,401832
2832,57, Self-emp-not-inc,353808
2833,58, Self-emp-inc,349910
2834,29, Private,161478
2835,17, Private,400225
2836,40, Private,367533
2837,69, Self-emp-not-inc,69306
2838,28, Private,270366
2839,38, Private,103751
2840,44, Private,75227
2841,45, Local-gov,132563
2842,33, State-gov,79580
2843,41, Local-gov,344624
2844,37, Self-emp-inc,186359
2845,50, Private,121685
2846,48, Private,75104
2847,26, ?,188343
2848,36, Private,246449
2849,21, Private,85088
2850,37, Private,545483
2851,20, State-gov,243986
2852,54, Self-emp-not-inc,32778
2853,28, Private,369114
2854,27, Private,217200
2855,33, Private,149220
2856,46, ?,162034
2857,28, ?,157813
2858,17, ?,179715
2859,40, Self-emp-not-inc,335549
2860,47, Private,102308
2861,44, Private,367749
2862,25, Private,98281
2863,35, Private,115792
2864,29, Private,277788
2865,30, Private,103435
2866,30, Private,37646
2867,56, Self-emp-not-inc,385632
2868,25, Self-emp-not-inc,210278
2869,28, Private,335357
2870,43, Self-emp-not-inc,272165
2871,47, Local-gov,148995
2872,46, Self-emp-not-inc,113434
2873,41, State-gov,132551
2874,38, Federal-gov,115433
2875,29, Private,227890
2876,25, Private,503012
2877,56, Private,250873
2878,31, Private,407930
2879,22, Private,148187
2880,31, Private,159322
2881,28, Private,334368
2882,53, Private,196328
2883,45, Private,270842
2884,71, Private,235079
2885,65, ?,327154
2886,39, Private,188391
2887,19, Federal-gov,30559
2888,34, Local-gov,255098
2889,36, Private,248010
2890,40, Private,174515
2891,90, Private,171956
2892,56, Private,193130
2893,21, Private,108670
2894,48, Private,186172
2895,45, Private,348854
2896,46, Private,271828
2897,64, Private,148606
2898,29, Local-gov,123983
2899,22, Private,24896
2900,47, Private,573583
2901,67, Self-emp-inc,106175
2902,43, Private,307767
2903,42, Private,200574
2904,31, Private,59083
2905,53, Private,358056
2906,81, Private,114670
2907,33, Local-gov,262042
2908,17, Private,206010
2909,55, Self-emp-inc,183869
2910,28, Private,159001
2911,24, Private,155818
2912,40, Private,96055
2913,30, Local-gov,131776
2914,24, Private,228613
2915,26, Private,198163
2916,38, Private,37028
2917,30, Private,177304
2918,33, Private,144064
2919,40, Private,146659
2920,63, Self-emp-not-inc,26904
2921,23, Private,238917
2922,56, Private,170148
2923,42, Self-emp-not-inc,27821
2924,40, Private,220460
2925,49, Private,101320
2926,35, Private,173858
2927,52, Private,91048
2928,28, Private,298696
2929,35, Private,207202
2930,21, ?,230397
2931,43, Self-emp-not-inc,180599
2932,32, ?,199046
2933,29, Self-emp-not-inc,132686
2934,23, Private,240063
2935,50, Local-gov,177705
2936,34, Private,511361
2937,19, Private,89397
2938,47, Private,239439
2939,37, Self-emp-not-inc,36989
2940,25, Private,76978
2941,75, Private,200068
2942,24, Private,454941
2943,28, State-gov,107218
2944,17, Local-gov,182070
2945,31, Private,176360
2946,31, Private,452405
2947,18, ?,297396
2948,45, Private,84790
2949,31, Private,186787
2950,27, Private,169662
2951,48, Private,125933
2952,22, ?,35448
2953,34, Private,225548
2954,26, Private,240842
2955,53, Private,103931
2956,60, Private,232618
2957,49, Local-gov,288548
2958,40, Private,220609
2959,48, Self-emp-inc,26145
2960,23, Private,268525
2961,68, ?,133758
2962,42, Private,121264
2963,37, Self-emp-not-inc,29814
2964,27, Private,193701
2965,38, Private,183279
2966,27, Private,163942
2967,75, Private,188612
2968,49, Self-emp-inc,102771
2969,27, Private,85625
2970,36, Self-emp-not-inc,245090
2971,36, Private,131239
2972,35, Private,182074
2973,36, Private,187046
2974,53, Private,90624
2975,27, Private,37933
2976,34, Private,182177
2977,61, Private,716416
2978,29, Private,190562
2979,40, State-gov,141583
2980,37, Private,98941
2981,22, Private,201729
2982,43, Self-emp-inc,175485
2983,55, Self-emp-not-inc,149168
2984,28, Private,115971
2985,23, Private,161708
2986,64, Local-gov,244903
2987,46, Private,155664
2988,29, Private,112754
2989,44, Private,178385
2990,20, Private,44064
2991,62, Self-emp-not-inc,120939
2992,49, Private,165134
2993,29, Private,100405
2994,35, Self-emp-not-inc,361888
2995,39, Local-gov,167864
2996,39, Private,202950
2997,37, Private,218188
2998,38, Private,234962
2999,72, ?,177226
3000,31, Private,259931
3001,55, Private,189528
3002,38, Private,34996
3003,33, Private,112584
3004,25, Private,117589
3005,19, ?,145234
3006,37, Private,267086
3007,49, Private,44434
3008,26, Private,96130
3009,35, Private,181382
3010,44, Self-emp-inc,168845
3011,37, Private,271767
3012,42, Private,194636
3013,64, State-gov,194894
3014,28, Private,132686
3015,35, Self-emp-not-inc,185848
3016,40, State-gov,184378
3017,55, Federal-gov,270859
3018,21, Private,231866
3019,49, Private,36032
3020,51, State-gov,172962
3021,57, Private,98350
3022,51, Private,24185
3023,38, Private,53930
3024,24, Private,85088
3025,45, Self-emp-not-inc,94962
3026,28, Private,480861
3027,42, Self-emp-inc,187702
3028,22, Private,52262
3029,28, State-gov,52636
3030,60, Private,175273
3031,31, Private,327825
3032,47, Private,125892
3033,40, ?,78255
3034,30, Private,398827
3035,61, Private,208919
3036,71, Local-gov,365996
3037,42, Private,307638
3038,44, Local-gov,33068
3039,46, Self-emp-not-inc,254291
3040,50, Local-gov,125417
3041,27, State-gov,28848
3042,40, ?,273425
3043,21, Private,194723
3044,25, Private,195118
3045,61, Private,123273
3046,54, Private,220115
3047,31, Private,265706
3048,53, Self-emp-not-inc,279129
3049,39, Self-emp-inc,122742
3050,57, Self-emp-inc,172654
3051,48, Private,119199
3052,30, Private,107793
3053,35, Private,237943
3054,42, Self-emp-not-inc,64632
3055,34, Self-emp-not-inc,96245
3056,59, Private,361494
3057,69, Local-gov,122850
3058,29, Private,173652
3059,40, Private,164663
3060,21, Private,98678
3061,40, Private,245529
3062,43, Private,55294
3063,36, Private,140583
3064,41, Private,79797
3065,72, ?,113044
3066,20, Private,283499
3067,41, Local-gov,51111
3068,34, Private,232475
3069,48, Private,176140
3070,27, Private,301654
3071,35, Private,376455
3072,28, ?,192569
3073,27, Private,229803
3074,20, Private,337639
3075,18, Private,130849
3076,32, Private,296282
3077,38, Private,266645
3078,23, State-gov,110128
3079,28, Private,90196
3080,40, State-gov,40024
3081,35, Private,144322
3082,74, Self-emp-inc,162340
3083,28, Private,169069
3084,23, Private,113601
3085,20, Self-emp-not-inc,157145
3086,44, Private,111275
3087,46, Local-gov,102076
3088,20, ?,182117
3089,51, Self-emp-not-inc,145409
3090,40, Private,190122
3091,48, Private,331482
3092,60, Self-emp-not-inc,170114
3093,48, Self-emp-inc,193188
3094,46, Local-gov,267588
3095,48, Self-emp-inc,200471
3096,22, ?,175586
3097,24, Local-gov,322658
3098,45, State-gov,263982
3099,18, Private,266287
3100,39, Private,278187
3101,65, Self-emp-inc,81413
3102,22, Private,221745
3103,20, Private,140764
3104,28, Private,206351
3105,46, Private,176814
3106,42, Local-gov,245307
3107,61, State-gov,124971
3108,28, Private,119545
3109,18, Private,179203
3110,24, Federal-gov,44075
3111,45, Private,178319
3112,24, Private,219754
3113,44, Private,198316
3114,20, Private,168165
3115,35, Private,356838
3116,52, Self-emp-inc,210736
3117,25, Private,173212
3118,19, Private,130431
3119,35, ?,169809
3120,54, Private,197481
3121,21, Private,155066
3122,26, Private,31290
3123,42, Private,54102
3124,19, Private,181546
3125,55, Private,153484
3126,44, State-gov,351228
3127,25, Private,131976
3128,26, Private,200639
3129,64, Federal-gov,267546
3130,41, Private,179875
3131,25, ?,237865
3132,43, Private,300528
3133,45, Private,67716
3134,48, Federal-gov,326048
3135,60, Private,191188
3136,45, Self-emp-not-inc,32172
3137,51, Private,252903
3138,37, Federal-gov,334314
3139,22, Private,83704
3140,44, Private,160574
3141,27, Private,203776
3142,47, Local-gov,328610
3143,32, Private,295589
3144,40, Private,174373
3145,41, Private,247752
3146,32, ?,199244
3147,26, Private,139992
3148,47, Private,95680
3149,55, Self-emp-inc,189933
3150,38, Private,498785
3151,24, State-gov,177526
3152,64, Self-emp-not-inc,150121
3153,56, Federal-gov,130454
3154,41, Private,119079
3155,33, Private,220939
3156,33, Private,94235
3157,21, Private,305874
3158,59, Local-gov,62020
3159,58, Private,235624
3160,43, Local-gov,247514
3161,21, Private,275726
3162,45, Private,72896
3163,53, Local-gov,110510
3164,41, Private,173938
3165,27, Private,200641
3166,53, Private,211654
3167,38, Private,242720
3168,31, Private,111567
3169,41, Private,179533
3170,22, State-gov,334693
3171,43, Self-emp-not-inc,198096
3172,41, State-gov,355756
3173,27, Private,19395
3174,41, Local-gov,242586
3175,36, Private,208358
3176,49, Private,160647
3177,20, Private,227943
3178,58, Self-emp-not-inc,197665
3179,35, Self-emp-not-inc,216129
3180,30, Local-gov,326104
3181,21, Private,57211
3182,29, Private,100219
3183,40, Private,291192
3184,54, State-gov,93415
3185,35, Private,191502
3186,35, Private,261382
3187,40, Private,170230
3188,59, Private,374924
3189,43, Self-emp-inc,320984
3190,39, Private,338320
3191,51, Private,135190
3192,71, Private,157909
3193,33, Private,637222
3194,28, Private,430084
3195,30, Private,125279
3196,20, Private,221955
3197,51, Self-emp-inc,180195
3198,39, Private,208778
3199,62, Private,81534
3200,37, Private,325538
3201,28, Private,142264
3202,23, Private,128604
3203,39, Private,277886
3204,50, Self-emp-inc,100029
3205,31, Private,169269
3206,45, Local-gov,160472
3207,23, ?,123983
3208,47, Private,297884
3209,59, Private,99131
3210,32, Private,44392
3211,82, ?,29441
3212,49, Private,199029
3213,74, Federal-gov,181508
3214,22, Private,190625
3215,32, Private,194740
3216,34, Private,27380
3217,59, Private,160631
3218,36, Private,224531
3219,59, Private,283005
3220,47, Self-emp-inc,101926
3221,53, Local-gov,135102
3222,25, Self-emp-not-inc,113436
3223,44, Private,248973
3224,57, Self-emp-not-inc,225334
3225,42, Self-emp-not-inc,157562
3226,58, Local-gov,310085
3227,39, Private,129597
3228,32, ?,53042
3229,45, Private,204205
3230,47, Private,169324
3231,52, ?,134447
3232,56, Self-emp-not-inc,236731
3233,52, Private,141301
3234,34, Private,235124
3235,36, Self-emp-not-inc,367020
3236,41, Private,149102
3237,30, Private,423770
3238,44, Private,211759
3239,17, ?,110998
3240,34, Private,56883
3241,41, Private,223062
3242,29, Private,406662
3243,25, Private,206600
3244,42, Local-gov,147510
3245,48, Private,235646
3246,26, Private,187577
3247,64, Self-emp-inc,132832
3248,46, Self-emp-inc,278322
3249,38, Private,278924
3250,49, State-gov,203039
3251,23, Private,145651
3252,46, Local-gov,144531
3253,30, Private,91145
3254,49, Self-emp-not-inc,211762
3255,47, ?,111563
3256,44, Private,180985
3257,31, Private,207537
3258,19, Private,417657
3259,45, Private,189890
3260,34, Private,223212
3261,26, Private,108658
3262,38, Self-emp-not-inc,190023
3263,31, Private,222130
3264,36, Self-emp-inc,164866
3265,31, Private,170983
3266,30, Private,186269
3267,37, Private,286026
3268,30, Private,403433
3269,21, ?,224209
3270,73, Private,123160
3271,38, Federal-gov,99527
3272,30, Private,123178
3273,33, Private,231043
3274,52, Local-gov,317733
3275,58, Private,241056
3276,34, Local-gov,220066
3277,35, Private,180342
3278,59, Federal-gov,31840
3279,45, Private,183168
3280,27, Private,386036
3281,31, Local-gov,446358
3282,45, Private,28035
3283,40, Private,282155
3284,27, Private,192384
3285,19, Private,383637
3286,29, Private,457402
3287,34, Self-emp-inc,80249
3288,32, State-gov,159537
3289,49, Private,240859
3290,33, Private,83446
3291,74, ?,29866
3292,62, Private,185503
3293,39, Self-emp-not-inc,68781
3294,43, Private,220589
3295,22, Private,51136
3296,24, Private,54560
3297,76, ?,28221
3298,25, Private,201413
3299,19, Private,40425
3300,31, Private,189461
3301,53, Private,200576
3302,61, Private,92691
3303,47, Private,664821
3304,37, Private,175130
3305,50, Self-emp-not-inc,391016
3306,27, Private,249315
3307,58, Private,111169
3308,43, Private,334946
3309,39, Private,352248
3310,36, Private,173804
3311,56, Private,155449
3312,26, Private,73689
3313,23, Private,227594
3314,47, Private,161676
3315,68, Private,75913
3316,47, Local-gov,242552
3317,45, Federal-gov,352094
3318,26, Private,159732
3319,20, Private,131230
3320,46, Private,180695
3321,37, Private,189922
3322,37, Private,409189
3323,43, Private,111252
3324,59, Private,294395
3325,39, Private,172718
3326,32, Private,43403
3327,63, Private,111963
3328,45, Private,247869
3329,59, Private,114032
3330,36, ?,356838
3331,26, Private,179633
3332,34, Private,19847
3333,41, Private,231689
3334,26, Private,209942
3335,53, Private,197492
3336,33, Private,262439
3337,46, Private,283037
3338,79, ?,144533
3339,31, Private,83446
3340,24, Private,215443
3341,57, Local-gov,268252
3342,40, Private,181015
3343,41, Self-emp-inc,139916
3344,20, Private,195770
3345,45, Private,125194
3346,27, Private,58654
3347,36, Private,252327
3348,30, Private,116508
3349,36, Private,166988
3350,25, Private,374163
3351,30, ?,96851
3352,31, Private,196788
3353,49, Private,186172
3354,26, Private,245628
3355,25, Private,159732
3356,29, Private,129856
3357,24, Private,182812
3358,41, Private,314322
3359,35, Private,102976
3360,57, Self-emp-inc,42959
3361,21, Private,256356
3362,29, Private,136277
3363,36, Private,284616
3364,20, Private,185554
3365,51, Private,138847
3366,39, Private,33487
3367,36, Private,84306
3368,40, Self-emp-not-inc,223881
3369,61, Private,149653
3370,38, Private,348739
3371,20, ?,235442
3372,21, Private,34506
3373,40, Private,346964
3374,46, Private,192208
3375,21, Private,305874
3376,35, Self-emp-not-inc,462890
3377,39, Private,89508
3378,38, Self-emp-not-inc,200153
3379,30, Private,179446
3380,28, Private,208965
3381,32, Private,40142
3382,46, Self-emp-not-inc,57452
3383,40, Private,327573
3384,47, Private,151267
3385,44, Private,265266
3386,38, Private,203836
3387,51, ?,163998
3388,46, Self-emp-not-inc,28281
3389,51, Private,293196
3390,45, Private,214627
3391,20, Private,368852
3392,44, Private,353396
3393,33, Private,161745
3394,18, Private,97963
3395,61, Self-emp-inc,156542
3396,50, State-gov,198103
3397,47, Federal-gov,55377
3398,34, Private,173730
3399,53, Private,374588
3400,39, Self-emp-not-inc,174330
3401,58, Private,78141
3402,66, ?,190324
3403,26, Private,31350
3404,41, Private,243607
3405,47, Local-gov,134671
3406,31, Private,197023
3407,52, Private,117674
3408,29, Private,169815
3409,43, Private,598606
3410,42, Federal-gov,122861
3411,35, Private,166235
3412,41, Private,187821
3413,34, Private,340940
3414,52, Self-emp-not-inc,194791
3415,61, Private,231323
3416,39, Local-gov,305597
3417,19, Private,25429
3418,46, State-gov,192779
3419,39, Private,346478
3420,22, Private,341368
3421,30, State-gov,295612
3422,40, Private,168936
3423,43, Private,218558
3424,37, Private,336598
3425,23, Private,308205
3426,39, Local-gov,357173
3427,54, Private,457237
3428,46, Self-emp-inc,284799
3429,20, Private,179423
3430,50, Self-emp-not-inc,363405
3431,17, Private,139183
3432,36, Private,203482
3433,37, Private,112554
3434,53, Private,99476
3435,50, Private,93690
3436,38, Private,220585
3437,63, Self-emp-not-inc,194638
3438,53, Private,154785
3439,40, ?,162108
3440,23, Self-emp-inc,214542
3441,20, Private,161922
3442,46, Private,207940
3443,28, Private,259351
3444,59, Private,208395
3445,41, Private,116391
3446,33, Private,239781
3447,56, Private,174351
3448,50, Self-emp-not-inc,44368
3449,31, Local-gov,188798
3450,41, Private,50122
3451,38, Private,111398
3452,25, State-gov,152035
3453,18, ?,139003
3454,49, Local-gov,249289
3455,39, Private,257726
3456,22, ?,113175
3457,21, Private,151158
3458,35, Private,465326
3459,21, ?,356772
3460,38, Private,364782
3461,55, Private,198385
3462,31, Private,329301
3463,17, Self-emp-inc,254859
3464,31, Private,203488
3465,25, Local-gov,222800
3466,39, Private,96452
3467,50, Private,170050
3468,38, Local-gov,116580
3469,50, Private,400004
3470,63, Private,183608
3471,31, Private,194055
3472,23, Private,210443
3473,18, Private,43272
3474,43, Local-gov,108945
3475,34, Private,114691
3476,18, Private,304169
3477,46, Private,503923
3478,35, Private,340428
3479,46, State-gov,106705
3480,59, Private,146391
3481,31, Private,235389
3482,27, Private,39665
3483,41, Private,113823
3484,42, Private,217826
3485,55, Private,349304
3486,34, ?,197688
3487,44, Private,54507
3488,26, Private,117833
3489,36, Private,163396
3490,69, Private,88566
3491,33, Private,323619
3492,30, Private,75755
3493,35, Private,148903
3494,25, Private,40915
3495,21, Private,182606
3496,18, Private,131033
3497,35, Self-emp-not-inc,168475
3498,20, Private,121568
3499,26, Private,139098
3500,46, Private,357338
3501,31, Private,283268
3502,40, Private,572751
3503,40, Private,315321
3504,31, Private,120461
3505,32, Self-emp-not-inc,65278
3506,23, Self-emp-not-inc,208503
3507,25, Local-gov,112835
3508,37, Private,265038
3509,18, Private,89478
3510,55, Private,276229
3511,52, Private,366232
3512,26, Private,152035
3513,37, Private,205339
3514,39, Private,75995
3515,62, Self-emp-not-inc,192236
3516,19, ?,188618
3517,47, Private,229737
3518,51, Local-gov,199688
3519,55, Private,52953
3520,30, Private,221043
3521,59, Federal-gov,115389
3522,45, Self-emp-not-inc,204205
3523,52, Private,338816
3524,21, Private,197387
3525,31, Private,42485
3526,29, Private,367706
3527,24, Private,102493
3528,17, Private,263746
3529,47, Private,115358
3530,46, Private,189680
3531,32, ?,282622
3532,34, Private,127651
3533,63, Private,230823
3534,21, Private,300812
3535,18, Private,174732
3536,49, State-gov,183710
3537,81, Self-emp-not-inc,137018
3538,36, Self-emp-inc,213008
3539,47, Private,357848
3540,36, Private,165799
3541,39, Self-emp-not-inc,188571
3542,46, Private,97883
3543,43, Local-gov,105862
3544,39, Local-gov,57424
3545,29, Private,151476
3546,23, Private,129583
3547,57, Private,180920
3548,38, Self-emp-not-inc,182416
3549,25, Private,251915
3550,39, Local-gov,187127
3551,24, Private,69045
3552,56, Private,192869
3553,39, Private,74163
3554,23, Private,60847
3555,17, ?,213055
3556,67, Self-emp-not-inc,116057
3557,41, Private,82393
3558,24, Local-gov,134181
3559,51, Private,159910
3560,30, Self-emp-inc,117570
3561,47, Self-emp-inc,214169
3562,56, Private,56331
3563,51, Private,35576
3564,57, Self-emp-not-inc,149168
3565,34, Private,157165
3566,24, Private,278130
3567,57, Private,257200
3568,38, Private,283122
3569,23, Private,580248
3570,35, Private,230054
3571,58, Private,519006
3572,19, ?,37332
3573,19, ?,365871
3574,68, State-gov,235882
3575,43, Private,336513
3576,17, Private,115551
3577,53, State-gov,50048
3578,37, Self-emp-inc,382802
3579,21, ?,180303
3580,63, Private,106023
3581,31, Private,332379
3582,29, Private,95465
3583,43, Local-gov,96102
3584,27, Private,36440
3585,25, Self-emp-not-inc,209384
3586,28, Private,50814
3587,54, Private,143865
3588,74, ?,104661
3589,31, Local-gov,50442
3590,23, Private,236601
3591,19, Private,100999
3592,39, ?,362685
3593,61, Self-emp-not-inc,32423
3594,59, ?,154236
3595,27, Self-emp-inc,153546
3596,19, Private,182355
3597,23, ?,191444
3598,25, Local-gov,44216
3599,40, Private,97688
3600,53, Private,209022
3601,32, Private,96016
3602,72, Self-emp-not-inc,52138
3603,61, Private,159046
3604,42, Private,138634
3605,17, Private,130125
3606,73, Private,247355
3607,41, Self-emp-not-inc,227065
3608,23, Private,244771
3609,23, Private,215616
3610,65, Private,386672
3611,45, Self-emp-inc,177543
3612,52, Federal-gov,617021
3613,24, Local-gov,117109
3614,23, Private,373550
3615,30, Private,19847
3616,26, Private,189590
3617,37, Self-emp-not-inc,58343
3618,17, Private,354201
3619,31, Private,119422
3620,52, Private,363405
3621,63, Private,181863
3622,27, Private,194472
3623,31, Private,247328
3624,71, Self-emp-not-inc,130731
3625,35, Private,236910
3626,44, Private,378251
3627,36, Private,120760
3628,22, Private,203182
3629,32, Private,130304
3630,30, Local-gov,352542
3631,60, ?,191024
3632,25, Private,197728
3633,76, Private,316185
3634,41, Private,89226
3635,26, Private,292353
3636,45, Private,304570
3637,32, Private,180296
3638,22, Private,361487
3639,39, Private,218490
3640,63, Self-emp-not-inc,231777
3641,23, Private,189832
3642,61, Private,232308
3643,31, State-gov,33308
3644,25, Private,333677
3645,33, Private,170651
3646,39, Private,343403
3647,53, Private,166386
3648,26, Federal-gov,48099
3649,21, Private,143062
3650,18, Private,104704
3651,34, Private,30497
3652,44, State-gov,174325
3653,31, Private,286675
3654,44, Private,59474
3655,42, Private,378384
3656,43, Private,245842
3657,33, Private,274222
3658,21, Private,342575
3659,30, Private,206051
3660,55, Private,234213
3661,57, Private,145189
3662,37, Private,233490
3663,32, Private,344129
3664,62, Self-emp-not-inc,171315
3665,31, Self-emp-not-inc,181485
3666,51, Private,255412
3667,37, Private,262409
3668,45, Private,199590
3669,47, Private,84726
3670,31, ?,226883
3671,75, Self-emp-not-inc,184335
3672,43, Private,102025
3673,39, Private,183898
3674,30, Private,55291
3675,27, Private,150025
3676,44, Private,100584
3677,53, Local-gov,181755
3678,40, Private,150528
3679,18, Private,107277
3680,33, Private,247205
3681,20, Private,291979
3682,38, Private,270985
3683,48, Private,62605
3684,46, Self-emp-not-inc,176863
3685,51, Private,53197
3686,35, Self-emp-not-inc,267776
3687,24, Private,308205
3688,30, Private,306383
3689,70, Private,35494
3690,26, Private,291968
3691,34, Private,80933
3692,46, Private,271828
3693,70, Private,121993
3694,37, Local-gov,31023
3695,36, Self-emp-not-inc,36425
3696,23, Private,407684
3697,28, Private,241895
3698,44, Self-emp-not-inc,158555
3699,58, Private,140363
3700,53, Private,123429
3701,23, Private,40060
3702,26, Private,290286
3703,21, ?,249271
3704,34, Local-gov,106169
3705,43, Private,76487
3706,22, Private,437994
3707,41, Private,113555
3708,36, Private,160120
3709,41, Local-gov,343079
3710,27, Private,406662
3711,42, Self-emp-not-inc,37618
3712,27, Private,114158
3713,41, Private,115562
3714,32, Private,353994
3715,21, Private,344891
3716,44, Private,286750
3717,29, Private,194197
